CASE_STATUS	EMPLOYER_NAME
CERTIFIED	INFOSYS BPO LIMITED
CERTIFIED	"GRAPECITY, INC."
CERTIFIED	"GLOBE EXPRESS SERVICES, LIMITED"
DENIED	SANOFI US SERVICES INC.
CERTIFIED	"CISCO SYSTEMS, INC."
CERTIFIED	"AMERIBLEND, INC."
CERTIFIED	"HNA PROPERTY HOLDINGS, LLC"
CERTIFIED	"CHINESE BIBLE CHURCH INTERNATIONAL, INC."
CERTIFIED	IN HOUSE LLC
CERTIFIED	"TAKETOURS, INC."
CERTIFIED	"TAKETOURS, INC."
CERTIFIED	SANOFI US SERVICES INC.
WITHDRAWN	"OM SRI SAI, INC."
CERTIFIED	NEW ENGLAND DENTAL LLC
CERTIFIED	"CHERRE, INC."
CERTIFIED	"OM SRI SAI, INC."
CERTIFIED	KABINETT INC
CERTIFIED	"MEDISO USA, LLC"
CERTIFIED	"PERFICIENT, INC."
CERTIFIED	"CAPE FEAR SOLAR SYSTEMS, LLC"
DENIED	"HORIZON HEALTHCARE SERVICES, INC."
WITHDRAWN	"HORIZON HEALTHCARE SERVICES, INC."
CERTIFIED	"DB EQUIPMENT, INC."
CERTIFIED	"INTERNATIONAL RESCUE COMMITTEE, INC."
CERTIFIED	ASIAN ARTS INITIATIVE
CERTIFIED	75 BURNSIDE DRUG & SURGICAL INC.
CERTIFIED	"HORIZON HEALTHCARE SERVICES, INC."
CERTIFIED	"INTERNATIONAL RESCUE COMMITTEE, INC."
CERTIFIED	"UNDER ARMOUR, INC."
CERTIFIED	WILSHIRE ASSOCIATES INCORPORATED
CERTIFIED	ENDO PHARMACEUTICALS INC.
CERTIFIED	"EPAM SYSTEMS, INC"
DENIED	"STILLETO DASH, INC."
CERTIFIED	"COOPER POWER SYSTEMS, LLC"
CERTIFIED	ANALYTICS QUOTIENT INC
CERTIFIED	"STILLETO DASH, INC."
CERTIFIED	MIQ LOGISTICS LLC
CERTIFIED	"ABERCROMBIE & FITCH STORES, INC."
CERTIFIED	KELLY GROUP ENTERPRISES CORP
CERTIFIED	PALL CORPORATION
CERTIFIED	OSCAR INSURANCE CORPORATION
CERTIFIED	SWAGELOK COMPANY
DENIED	"CISCO SYSTEMS, INC."
CERTIFIED	FLIPCHIP INTERNATIONAL
CERTIFIED	THE ROCKEFELLER FOUNDATION
CERTIFIED	MEGA WEST ENTERPRISE INC.
CERTIFIED	"WAL-MART ASSOCIATES, INC."
CERTIFIED	"SOVEMA GLOBAL SERVICES, INC."
CERTIFIED	LUCID LLC
CERTIFIED	OUSSADEN TOURS LLC
CERTIFIED	SANOFI US SERVICES INC.
DENIED	"GVOS , INC"
CERTIFIED	NOBEL BIOCARE PROCERA LLC
CERTIFIED	"SHRI GANESH, INC."
CERTIFIED	SANDYA SURGICAL ASSOCIATES
DENIED	"E.D. GARDENS, INC."
CERTIFIED	"M.A. ANGELIADES, INC"
CERTIFIED	"ASIA TV USA, LTD"
CERTIFIED	"GVOS , INC"
CERTIFIED	BLUE CROSS BLUE SHIELD OF MICHIGAN
CERTIFIED	PEAVEY ELECTRONICS CORPORATION
CERTIFIED	GOLD STAR METALS LLC
CERTIFIED	DELOITTE CONSULTING LLP
CERTIFIED	PROFORM GROUP INC
CERTIFIED	CITY OF BROWNSVILLE (BRO/SPA AIR)
CERTIFIED	"COMCAST CABLE COMMUNICATIONS, LLC"
DENIED	"E.D. GARDENS, INC."
CERTIFIED	PEACE ELECTRONICS CORPORATION
CERTIFIED	BURGER KING CORPORATION
DENIED	SHAMROCK PACKAGING GROUP
CERTIFIED	LIBERTY PETROLEUM CORPORATION
CERTIFIED	OLIVET UNIVERSITY
CERTIFIED	SAFWAY ATLANTIC LLC
CERTIFIED	VENUS LABORATORIES INC
CERTIFIED	"E.D. GARDENS, INC."
CERTIFIED	03091776 GEORGIA LLC
CERTIFIED	SANTA CLARA UNIVERSITY
CERTIFIED	MAYO CLINIC
CERTIFIED	"MARKZ HOSPITALITY, INC."
CERTIFIED	DRIVER GROUP LLC
CERTIFIED	INFOSYS BPO LIMITED
CERTIFIED	"WYNDHAM HOTEL GROUP, LLC"
CERTIFIED	SHAMROCK PACKAGING GROUP
CERTIFIED	MEDICAL CARE DEVELOPMENT INTERNATIONAL INC.
WITHDRAWN	MEDICAL CARE DEVELOPMENT INTERNATIONAL INC.
CERTIFIED	IMPERIAL PACIFIC INTERNATIONAL (CNMI) LLC
CERTIFIED	"WAL-MART ASSOCIATES, INC."
CERTIFIED	"ZOOX, INC."
CERTIFIED	"NANT HEALTH, INC."
CERTIFIED	RALPH TODD STONES LLC
CERTIFIED	"ORBOTECH, INC."
CERTIFIED	"AMOBEE, INC."
CERTIFIED	OPUSING LLC
CERTIFIED	"AMERICAN AIRLINES, INC."
CERTIFIED	INFOSYS BPO LIMITED
CERTIFIED	"FONANTRIX SOLUTION, LLC"
CERTIFIED	"SVR GROUP, LLC"
CERTIFIED	GRUBER PHOTOGRAPHERS INC
CERTIFIED-WITHDRAWN	SHIPCO TRANSPORT INC.
CERTIFIED	VISA U.S.A. INC.
CERTIFIED	"COOPER POWER SYSTEMS, LLC"
CERTIFIED	NEW LIFE CHINESE LAUNDRY INC.
DENIED	"JS INTERNATIONAL, INC."
DENIED	C & F CORPORATION
CERTIFIED	"ALT-OPTIONS, LLC"
CERTIFIED	03091776 GEORGIA LLC
CERTIFIED	C & F CORPORATION
CERTIFIED	"HINT HEALTH, INC."
CERTIFIED	"CISCO SYSTEMS, INC."
CERTIFIED	"VISTEX, INC."
CERTIFIED	"JS INTERNATIONAL, INC."
CERTIFIED	EFG PNS CAPITAL LLC
CERTIFIED-WITHDRAWN	ACCUEN INC.
CERTIFIED	"CHEMTREAT, INC."
CERTIFIED	SPORTIME CLUBS LLC
CERTIFIED	TERRA NOVA STONE INC
WITHDRAWN	"WAL-MART ASSOCIATES, INC."
CERTIFIED	"FONANTRIX SOLUTION, LLC"
CERTIFIED	"NATIONAL GRID USA SERVICE COMPANY, INC."
CERTIFIED	ASTELLAS US LLC
CERTIFIED	ADOBE SYSTEMS INCORPORATED
CERTIFIED	ADOBE SYSTEMS INCORPORATED
CERTIFIED	"WAL-MART ASSOCIATES, INC."
CERTIFIED	ADOBE SYSTEMS INCORPORATED
CERTIFIED	AMERICAN EXPRESS COMPANY
CERTIFIED	THE MITCHELL GROUP
CERTIFIED	"MR. KEET, LLC"
CERTIFIED	SHIPCO TRANSPORT INC.
DENIED	ADOBE SYSTEMS INCORPORATED
WITHDRAWN	ADOBE SYSTEMS INCORPORATED
WITHDRAWN	ADOBE SYSTEMS INCORPORATED
DENIED	SONNEDIX USA SERVICES LIMITED INC
DENIED	"ONCOSEC MEDICAL, INC."
CERTIFIED	LEVI STRAUSS &AMP; CO.
CERTIFIED	"OPENEYE SCIENTIFIC SOFTWARE, INC."
CERTIFIED	"ANHEUSER-BUSCH INBEV SERVICES, LLC"
CERTIFIED	MATRIX METALS LLC
CERTIFIED	"EMPYREAN BENEFIT SOLUTIONS, INC."
WITHDRAWN	"ANHEUSER-BUSCH INBEV SERVICES, LLC"
CERTIFIED	LENDINGCLUB CORPORATION
CERTIFIED	SODEXO HEALTH CARE SERVICES
CERTIFIED	"MICROBAC LABORATORIES, INC."
CERTIFIED	"ANHEUSER-BUSCH INBEV SERVICES, LLC"
CERTIFIED	SHIFT OPERATIONS LLC
CERTIFIED	"MGM RESORTS INTERNATIONAL OPERATIONS, INC."
CERTIFIED	ADOBE SYSTEMS INCORPORATED
CERTIFIED	DAVITA INC.
CERTIFIED	"BLUEPRINT CONSULTING SERVICES, LLC"
CERTIFIED	THE MITCHELL GROUP
CERTIFIED	WHIRLPOOL CORPORATION
CERTIFIED	"MEDALLIA, INC."
CERTIFIED	TALLADEGA COLLEGE
CERTIFIED	"GILSON, INC."
DENIED	HP INC.
CERTIFIED	"FREUDENBERG MEDICAL, LLC"
CERTIFIED	PULLMAN SST INC.
CERTIFIED	"NORTH AMERICAN GAMING, INC."
CERTIFIED	ADOBE SYSTEMS INCORPORATED
CERTIFIED	RNC INVESTMENT GROUP LLC
CERTIFIED	"ASTELLAS PHARMA U.S., INC."
CERTIFIED	OMNIHEALTH BIOSCIENCES CORPORATION
CERTIFIED	"CISCO SYSTEMS, INC."
CERTIFIED	INTERNATIONAL PAPER
CERTIFIED	APPLE INC.
CERTIFIED	ADOBE SYSTEMS INCORPORATED
CERTIFIED	EBAY INC.
CERTIFIED	NYGALA INC
CERTIFIED	"ONCOSEC MEDICAL, INC."
CERTIFIED	USA CABINET STORE LLC
CERTIFIED	JVK HOSPITALITY LLC
CERTIFIED	HP INC.
WITHDRAWN	ADOBE SYSTEMS INCORPORATED
WITHDRAWN	MONDELEZ GLOBAL LLC
CERTIFIED	PULLMAN MIAMI HR LLC
CERTIFIED	"ATLAS, INC"
CERTIFIED	"PRODUCE INSPECTORS OF AMERICA, LLC"
CERTIFIED	TRANS OCEAN SEAFOODS INC
CERTIFIED	RHINOBIRD INC.
CERTIFIED	ACER AMERICA CORPORATION
CERTIFIED	ACER AMERICA CORPORATION
CERTIFIED	AZUMI USA CORPORATION
CERTIFIED	"MIROCULUS, INC."
CERTIFIED	"MAGNI AMERICAS, INC."
CERTIFIED	CUBAN COFFEE QUEEN LLC
CERTIFIED	"THE MASCHHOFFS, LLC"
CERTIFIED	HOTELCO INTERNATIONAL ACQUIREMENTS LLC
CERTIFIED	THE HUNEEUS FOUNDATION
CERTIFIED	COPPERME LLC
CERTIFIED	"BRIGHTSTAR US, INC."
CERTIFIED	PROFORM GROUP INC
CERTIFIED	METRO PUERTO RICO LLC
CERTIFIED	TC WATER TECHNOLOGIES LLC
CERTIFIED	"STOOPSETS, LLC"
CERTIFIED	TC WATER TECHNOLOGIES LLC
CERTIFIED	KERUI PETROLEUM EQUIPMENT (AMERICA) CORP.
CERTIFIED	LIFE INSURANCE COMPANY NORTH AMERICA
CERTIFIED	YOGACARE LLC
CERTIFIED	AMERICAN SCHOLAR GROUP
CERTIFIED	"JOHNSON & JOHNSON CONSUMER, INC."
CERTIFIED	PACIFIC HEALTHWORKS LLC
CERTIFIED	"FACEBOOK, INC."
CERTIFIED	VT VOLANT AEROPACE LLC
DENIED	RED POD INC
DENIED	RED POD INC
DENIED	RED POD INC
CERTIFIED	RED POD INC
WITHDRAWN	FOR THE RECORD LTD.
CERTIFIED	FOR THE RECORD LTD.
CERTIFIED	IMPERIAL PACIFIC INTERNATIONAL CNMI
CERTIFIED	IMPERIAL PACIFIC INTERNATIONAL CNMI
CERTIFIED	"CORTEC PRECISION SHEETMETAL, INC."
CERTIFIED-WITHDRAWN	"WESTFIELD, LLC"
CERTIFIED-WITHDRAWN	SMI MEDIA INC.
CERTIFIED-WITHDRAWN	JACOBS ENGINEERING GROUP INC.
CERTIFIED-WITHDRAWN	"THE GAP, INC."
CERTIFIED-WITHDRAWN	"BALLY GAMING, INC."
CERTIFIED-WITHDRAWN	TIGERSPIKE INC
CERTIFIED-WITHDRAWN	IDM PRODUCTION LLC
WITHDRAWN	"VIII HOTEL II TB INVESTORS, LLC"
CERTIFIED-WITHDRAWN	ILUKA RESOURCES INCORPORATED
CERTIFIED-WITHDRAWN	"DANIEL J. EDELMAN, INC."
CERTIFIED-WITHDRAWN	"WILLIAMS-SONOMA, INC."
CERTIFIED	OUTRIGGER HOTELS HAWAII
WITHDRAWN	"TELADOC, INC."
CERTIFIED-WITHDRAWN	"LCC INTERNATIONAL, INC."
CERTIFIED-WITHDRAWN	"PRECISION GLOBAL CONSULTING, INC."
CERTIFIED	ARTLAND INTERNATIONAL COMPANY LIMITED LLC
CERTIFIED	VORTILLA LLC
CERTIFIED	REDSCOUT LLC
CERTIFIED	"YOWIE NORTH AMERICA, INC."
CERTIFIED	MADD GEAR LLC
CERTIFIED	READING ROOM INC.
CERTIFIED	SPINWAY INC.
CERTIFIED	"BROKEN HILL PROPRIETARY (USA), INC."
CERTIFIED	"UNITED STATES TENNIS ASSOCIATION, INC."
CERTIFIED	POWERHOUSE COACHING INC
CERTIFIED	STERILIS MEDICAL CORPORATION
CERTIFIED	"SHIATSU MASSAGE INSTITUTE, INC"
CERTIFIED	MILLENNIUM BULK TERMINALS - LONGVIEW LLC
CERTIFIED	BEAUTY VISIONS LLC
CERTIFIED	"UMANGO, LLC"
CERTIFIED	"NES GLOBAL, LLC"
CERTIFIED	"BOCA CALIFORNIA, INC"
CERTIFIED	"MEDIAMORPH, INC"
CERTIFIED-WITHDRAWN	"HAWAIIAN AIRLINES, INC."
CERTIFIED	"SEAVIEW SYSTEMS, INC."
CERTIFIED	WESTFIELD LLC
CERTIFIED	DINKUM SYSTEMS INC
CERTIFIED	"NEW RELIC, INC."
CERTIFIED	LFA INTERNATIONAL INC
DENIED	6DEGREES.XYZ INC.
WITHDRAWN	SERIOUSPLAYER.COM INC
CERTIFIED	SERIOUSPLAYER.COM INC
CERTIFIED	"SERRAVIEW AMERICA, INC."
CERTIFIED	"AVOLUTION, INC."
CERTIFIED	6DEGREES.XYZ INC
CERTIFIED	"RIO TINTOS SERVICES, INC"
DENIED	OH BEBE LLC
CERTIFIED	"ALTMANS PRODUCTS, LLC"
CERTIFIED	INTEGRITY SYSTEMS LIMITED USA
DENIED	HAYFIN ADVISORS LLC
CERTIFIED	OH BEBE LLC
CERTIFIED	"SKILLSHARE, INC"
CERTIFIED	HAYFIN ADVISORS LLC
CERTIFIED	"ANSWERS IN GENESIS, INC."
DENIED	RECRUIT TRACKER INC.
DENIED	MINERVA BIOTECHNOLOGIES CORP
CERTIFIED	BRANAT CONSTRUCTION INC
DENIED	NEWZULU USA INC.
WITHDRAWN	"WAL-MART ASSOCIATES, INC."
WITHDRAWN	"WAL-MART ASSOCIATES, INC."
CERTIFIED	AKUNA CAPITAL LLC
CERTIFIED	KNOTE HOLDING CORP
DENIED	"GOLF BIODYNAMICS, INC."
CERTIFIED	MINERVA BIOTECHNOLOGIES CORP
CERTIFIED	"GODEL CAPITAL, LLC"
DENIED	"SAN DIEGUITO SURF SOCCER CLUB, INC."
CERTIFIED	BOTANICAL HOSPITALITY GROUP LLC
CERTIFIED	"SAN DIEGUITO SURF SOCCER CLUB, INC."
CERTIFIED	RECRUIT TRACKER INC.
DENIED	"GOLD BIODYNAMICS, INC."
CERTIFIED	CERBERUS OPERATIONS AND ADVISORY COMPANY LLC
CERTIFIED	AZURE INTERNATIONAL INC.
CERTIFIED	"EPIQ SYSTEMS, INC."
CERTIFIED	MISSON SOLAR ENERGY LLC
DENIED	NORTHCOTE MEXICO LLC
CERTIFIED	"AOL, INC."
WITHDRAWN	"AOL, INC."
CERTIFIED	ELITE PERFORMANCE MEDIA AND COMMUNICATIONS LLC
DENIED	GENIUS FACTORY USA. INC.
CERTIFIED	"INTERNATIONAL HEART OF VARIETY, INC."
CERTIFIED	NORTHCOTE MEXICO LLC
CERTIFIED	"ROBGROUP MANAGEMENT US, INC."
CERTIFIED	RESMED CORP.
CERTIFIED	BARRENJOEY CREATIVE LLC
CERTIFIED	"BALANCE GYM, LLC"
DENIED	RESTAURANT PAYSERVE OF AMERICA
DENIED	BATH ART LLC
CERTIFIED	"ENFOCUS, INC."
CERTIFIED	ECO OUTDOOR CA INC
CERTIFIED	GENIUS FACTORY USA. INC.
CERTIFIED	TERA INTERNATIONAL GROUP INC
CERTIFIED	"THOUSAND HILLS CAPITAL, LLC"
CERTIFIED	AURA NETWORK INC
CERTIFIED	"FCS BOSTON, INC"
CERTIFIED	"STELLASERVICE, INC."
CERTIFIED	"SHOES OF PREY, INC."
CERTIFIED	"MUSIC ICON, INC."
CERTIFIED	HAPPY INSPECTOR INC.
CERTIFIED	UNISPACE INC.
CERTIFIED	STAR DIRECT LLC
CERTIFIED	SMI MEDIA INC.
CERTIFIED	"UVNV, INC."
DENIED	CELESTIAL PAYSERVE OF AMERICA
WITHDRAWN	VIRGIN HOTELS NORTH AMERICA INC
CERTIFIED	VIRGIN HOTELS NORTH AMERICA LLC
CERTIFIED	"BIZLINER AVIATION, LLC"
CERTIFIED	ZUNOS INC.
CERTIFIED	CRRW INC.
CERTIFIED	RESTAURANT PAYSERVE OF AMERICA LLC
CERTIFIED	YAYPAY INC.
CERTIFIED	STREETHAWK INC
DENIED	CMAX COMMUNICATIONS CORPORATION
CERTIFIED	WEATHERFORD INTERNATIONAL LLC
CERTIFIED	PRECISION AUTONOMY LLC
WITHDRAWN	SEASIDE YOGURT
CERTIFIED	SEASIDE YOGURT
CERTIFIED	JNSQ INC
CERTIFIED	"HAILE GOLD MINE, INC."
CERTIFIED	"HAILE GOLD MINE, INC."
CERTIFIED	WESTFIELD LLC
CERTIFIED	BROOKLANE MANAGEMENT CORP
CERTIFIED	ARYD MEDIA INC.
CERTIFIED	"WOOFBERT, INC."
WITHDRAWN	BROADWAY &AMP; ETERNITY LLC
CERTIFIED	BATH ART LLC
CERTIFIED	"LC HOLDINGS PR, LLC"
CERTIFIED	CMAX COMMUNICATIONS CORPORATION
CERTIFIED	"INFERENCE SOLUTIONS, INC."
CERTIFIED	BOTANICAL HOSPITALITY GROUP LLC
CERTIFIED	"AUSPECT SKINCARE INTERNATIONAL, LLC"
CERTIFIED	SKIN LAUNDRY HOLDINGS LLC
CERTIFIED	BARNORTH GROUP LLC
CERTIFIED	SCRIPTDASH INC.
CERTIFIED	BARNORTH GROUP LLC
DENIED	CREATIVE ATHLETIC TRAINING
CERTIFIED	"SEW-EURODRIVE, INC."
CERTIFIED	"AXXIS GEO SOLUTIONS, INC."
CERTIFIED	RECOVERY RECORD RESEARCH
CERTIFIED	"BICYCLE TRANSIT SYSTEMS, INC."
CERTIFIED	OTX LOGISTICS INC.
CERTIFIED	"BEYOND PRODUCTIONS, INC."
CERTIFIED	"BORDERFREE, INC."
CERTIFIED	ANVIL NY LLC
CERTIFIED	FINITECH US LLC
WITHDRAWN	TRINET HR CORPORATION
CERTIFIED	"BUFFALO RESTORATION, LLC"
DENIED	NOONAN INC
CERTIFIED	"OCEANA, INC."
CERTIFIED	INDIGO LABS LLC
CERTIFIED	"BRIGADE MEDIA, INC."
CERTIFIED	CREATIVE ATHLETIC TRAINING
CERTIFIED	BARNORTH GROUP LLC
CERTIFIED	BARNORTH GROUP LLC
CERTIFIED	BUGCROWD INC
CERTIFIED	UAP NORTH AMERICA LTD.
CERTIFIED	"BEYOND PRODUCTIONS, INC."
CERTIFIED	SMART SPARROW LLC
CERTIFIED	"BELL ENGINE &AMP; EQUIPMENT, INC"
CERTIFIED	BARRICK GOLDSTRIKE MINES INC.
CERTIFIED	AUSPECT SKINCARE INTERNATIONAL
CERTIFIED	THE CHILDRENS AID SOCIETY
CERTIFIED	"PALLADIUM GROUP GLOBAL, LLC"
CERTIFIED	"SURFSTITCH USA, INC."
CERTIFIED	QIC GRE MANAGEMENT (US) INC
CERTIFIED	VALKYRIE LEASING LLC
CERTIFIED-WITHDRAWN	"BISLR, INC."
CERTIFIED	"EPAM SYSTEMS, INC"
CERTIFIED	"FIRMENICH, INC."
CERTIFIED	"GOLD DRIP, LLC"
CERTIFIED	COMMERCIALIZE TV LLC
CERTIFIED	"TRAPAC, LLC"
CERTIFIED	TRINET HR CORPORATION
CERTIFIED	MONSTER CHILDREN USA LLC
CERTIFIED	"GARTNER, INC."
CERTIFIED	"UBER TECHNOLOGIES, INC."
WITHDRAWN	"BI-LO HOLDING, LLC"
CERTIFIED	COATES VISUAL LLC
CERTIFIED	RECOVERY RECORD RESEARCH
CERTIFIED	WAVE CHURCH
WITHDRAWN	NOONAN INC
CERTIFIED	MENTOR IMC PROJECTS (USA) INC.
DENIED	NOONAN INC
CERTIFIED	"BI-LO HOLDING, LLC"
CERTIFIED	OCSIAL LLC
CERTIFIED	UBIMO INC.
CERTIFIED	NOONAN INC
CERTIFIED	"PORT MORRIS TILE AND MARBLE, CORP"
CERTIFIED	"LOCALITY MEDIA, INC."
CERTIFIED	"CARDNO EMERGING MARKETS (USA), LTD."
CERTIFIED	UNISAN LLC
CERTIFIED	CREMORE PARTNERS LLC
DENIED	DAIRE ENDEAVOURS INC
CERTIFIED	IL GELATO LLC
CERTIFIED	ADVANCE - GLOBAL AUSTRALIAN PROFESSIONALS INC
CERTIFIED	RECORD POINT OPERATIONS US INC.
CERTIFIED	EMPIRE CITY GROUP INC.
CERTIFIED	TATE AND LYLE INGREDIENTS AMERICAS LLC
CERTIFIED	INTERBRAND CORPORATION
CERTIFIED	DAIRE ENDEAVOURS INC
DENIED	YOUSHOOT INC
CERTIFIED	"NIKE, INC."
CERTIFIED	"RECORDPOINT SOFTWARE USA, LLC"
CERTIFIED	AUTOPILOTHQ INC.
CERTIFIED	"CROWDTAP, INC."
DENIED	MARDAR MANAGEMENT INC
CERTIFIED	ROKT CORPORATION
CERTIFIED	EVENT HORIZON TECHNOLOGIES
CERTIFIED	PARAGON PARTNERS LLC
CERTIFIED	WOOLMARK AMERICAS INC
DENIED	ARRB GROUP INC.
CERTIFIED	TOT BABY CORPORATION
CERTIFIED	WEATHERFORD INTERNATIONAL LLC
CERTIFIED	XERO LINEAR LIGHTING SYSTEMS LLC
CERTIFIED	ARRB GROUP INC.
CERTIFIED	ARTBINDER INC.
CERTIFIED	"RQ MEDIA GROUP, INC."
CERTIFIED	"QUICKFEE, INC."
DENIED	RIVERSDALE ALASKA LLC
CERTIFIED	SYDELL GROUP LLC
CERTIFIED	G4 ALLIANCE
CERTIFIED	TRANSURBAN (USA) INC.
CERTIFIED	AXIMA USA LLC
CERTIFIED	AKUNA CAPITAL LLC
CERTIFIED	HUGO CORPORATION
CERTIFIED	"FOYERLIVE, INC."
CERTIFIED	GLOBAL LIFE DISTRIBUTION (US) INC.
CERTIFIED	OH BEBE LLC
CERTIFIED	CERBERUS OPERATIONS AND ADVISORY COMPANY LLC
CERTIFIED	HIDDEN HOLLOW DESIGNS LLC
CERTIFIED	BOWDEN DEVELOPMENT COMPANY
CERTIFIED	"LOOKBOOKER, INC."
WITHDRAWN	"EPAM SYSTEMS, INC"
CERTIFIED	"ORCA DEVELOPMENTS, LLC"
CERTIFIED	RIVERSDALE ALASKA LLC
CERTIFIED	WOODS BAGOT ARCHITECTS P.C.
CERTIFIED	"TIMES SQUARE THEATER CO, LLC."
CERTIFIED	"FLORIDA PRODUCTION ENGINEERING, INC."
CERTIFIED	"SENTRY CONTROL SYSTEMS, LLC"
CERTIFIED	"HULA PARTNERS, LLC"
CERTIFIED	"DAKINE, INC."
CERTIFIED	BAZMARK INQ LLC
CERTIFIED	FTR LTD
CERTIFIED	"JET.COM, INC."
DENIED	JACK PRATTEN
CERTIFIED	YOUSHOOT INC
CERTIFIED	OMEGA INDUSTRIES INC
CERTIFIED	"ASSIGNAR, INC."
CERTIFIED	FROG DESIGN INC.
CERTIFIED	HOUSE OF COLLINS LTD
CERTIFIED	FASTMAN INC.
CERTIFIED	"HULA PARTNERS, LLC"
DENIED	LIGHTHOUSEIO
CERTIFIED	"CYGNET CAPITAL, INC."
CERTIFIED	MARDAR MANAGEMENT INC
CERTIFIED	HAPPYTEL USA INC.
CERTIFIED	406 BROOME ST RESTAURANT INC
CERTIFIED	UNLOCKD OPERATIONS US INC.
CERTIFIED	HARCOURTS PACIFIC LLC
CERTIFIED	TOBY'S ESTATE COFFEE INC
CERTIFIED	ZENYSIS TECHNOLOGIES INC.
CERTIFIED	"MAD DOGG ATHLETICS, INC."
CERTIFIED	ROKT CORPORATION
CERTIFIED	"NBCUNIVERSAL MEDIA, LLC"
DENIED	"PEADLER, LLC"
CERTIFIED	"SAY HELLO AND COMPANY, INC."
CERTIFIED	MATHSPACE INC.
CERTIFIED	CHANDELIERS CREATIVE INC.
CERTIFIED	HUGO CORPORATION
CERTIFIED	"INFERENCE SOLUTIONS, INC."
DENIED	LIGHTHOUSEIO
CERTIFIED	"BREVILLE USA, INC."
CERTIFIED	MOVEMBER FOUNDATION
CERTIFIED	"PEADLER, LLC"
CERTIFIED	"NOMAD TWO WORLDS (USA), INC"
CERTIFIED	"INTERBLOCK USA, L.C."
CERTIFIED	OPTOMETRY GIVING SIGHT
CERTIFIED	"HEALTHCARE MANAGEMENT PARTNERS, LLC"
CERTIFIED	DELUXE CORPORATION
CERTIFIED	TOBY'S ESTATE COFFEE INC
CERTIFIED	"PALLADIUM GROUP GLOBAL, LLC"
DENIED	YAYPAY INC.
CERTIFIED	LIGHTHOUSEIO
CERTIFIED	BRANDSGROUP INC
DENIED	DIGITAL PROFILE SOLUTIONS CORPORATION
WITHDRAWN	DIGITAL PROFILE SOLUTIONS CORPORATION
DENIED	"HORIZON REALTY ADVISORS, LLC"
CERTIFIED	LEAP GROUP HOLDINGS INC.
CERTIFIED	DIGITAL PROFILE SOLUTIONS CORPORATION
DENIED	"HORIZON REALTY ADVISORS, LLC"
DENIED	"HORIZON REALTY ADVISORS, LLC"
DENIED	"HORIZON REALTY ADVISORS, LLC"
WITHDRAWN	"HORIZON REALTY ADVISORS, LLC"
CERTIFIED	"BANYAN INVESTMENTS, LLC"
CERTIFIED	"BIOGEN, INC."
CERTIFIED	PAYMANAGER LLC
CERTIFIED	PHIBRO ANIMAL HEALTH CORPORATION
CERTIFIED	WOODS BAGOT ARCHITECTS P.C.
CERTIFIED	CASHTIVITY INC.
CERTIFIED	TRANSURBAN USA INC.
CERTIFIED	BP AMERICA INC.
CERTIFIED	"SILICON VALLEY FOUNDRY, LLC"
WITHDRAWN	DELPHI CORPORATION
CERTIFIED	LOQULES
CERTIFIED	"HORIZON REALTY ADVISORS, LLC"
DENIED	PEDDLER COFFEE LLC
CERTIFIED	"HORIZON REALTY ADVISORS, LLC"
CERTIFIED	"HORIZON REALTY ADVISORS, LLC"
CERTIFIED	"HORIZON REALTY ADVISORS, LLC"
CERTIFIED	"HORIZON REALTY ADVISORS, LLC"
CERTIFIED	"MINEARC SYSTEMS AMERICA, LLC"
CERTIFIED	PEDDLER COFFEE LLC
CERTIFIED	ADOBE SYSTEMS INCORPORATED
CERTIFIED	WTS ENERGY USA LLC
CERTIFIED	DELPHI CORPORATION
CERTIFIED	"TRAINING MATE, LLC"
CERTIFIED	"STACKLA, INC."
CERTIFIED	RRNY ENTERPRISES LLC
CERTIFIED	AAPC LOUNGE SERVICES INC.
DENIED	CHRISTLETON CONSULTING INC.
CERTIFIED	COYA MANAGEMENT SERVICES INC.
CERTIFIED	"UNITED EGG PRODUCERS, INC."
CERTIFIED	SHORTHAND INC
CERTIFIED	SASI USA LLC
DENIED	"SELLO,LLC"
CERTIFIED	"MAIIA ENTERPRISES, INC."
CERTIFIED	PAGEUP PEOPLE INC.
CERTIFIED	VIACOM INTERNATIONAL INC.
CERTIFIED	"TRANSIT WIRELESS, LLC"
CERTIFIED	BEACH DRIVE MANAGEMENT LLC
CERTIFIED	"ASTUTE DOCTOR EDUCATION, INC."
CERTIFIED	YAYPAY INC.
CERTIFIED	EQUAL EXPERTS INC.
CERTIFIED	TINYBEANS USA LTD
CERTIFIED	JOHANNES LEONARDO LLC
DENIED	CROSSBOUNDARY LLC
CERTIFIED	NOETIC CORPORATION
CERTIFIED	CROSSBOUNDARY LLC
CERTIFIED	"PORT MORRIS TILE AND MARBLE, CORP"
CERTIFIED	HYDRALYTE LLC
CERTIFIED	CHRISTLETON CONSULTING INC.
CERTIFIED	"OPENTABLE, INC."
CERTIFIED	RRNY ENTERPRISES LLC
CERTIFIED	PHIBRO ANIMAL HEALTH CORPORATION
CERTIFIED	N2 CONSULTING LLC
CERTIFIED	"UBIMO, INC."
CERTIFIED	TRUFAB GROUP USA LLC
CERTIFIED	"JET.COM, INC."
DENIED	ASBET CORPORATION
CERTIFIED	"SELLO,LLC"
CERTIFIED	603 N LA CIENEGA LLC
CERTIFIED	"FRONT ROW VENTURES, INC."
