CASE_STATUS	EMPLOYER_NAME
CERTIFIED	IMPERIAL PACIFIC INTERNATIONAL CNMI
DENIED	"DON IGNACIO CULINARY ARTS SCHOOL, INC."
CERTIFIED	INFOCOMM INVESTMENTS (US) LLC
WITHDRAWN	"CLASSIC SLEEPCARE, LLC"
CERTIFIED	INFRASCALE INC.
CERTIFIED	"COLLINEAR NETWORKS, INC."
CERTIFIED-WITHDRAWN	"RIO TINTO MINERALS, INC."
CERTIFIED-WITHDRAWN	ASKLEPION PHARMACEUTICALS LLC
CERTIFIED-WITHDRAWN	"ORION HEALTH, INC."
CERTIFIED	STEWART & STEVENSON LLC
CERTIFIED-WITHDRAWN	BIORASI LLC
WITHDRAWN	ALPHA USA
DENIED	STEWART & STEVENSON LLC
CERTIFIED	"AUSFILM USA, INC."
CERTIFIED	"OAKTREE CAPITAL MANAGEMENT, L.P."
CERTIFIED	"ARISTOCRAT TECHNOLOGIES, INC."
CERTIFIED	"HAWKWOOD ENERGY, LLC"
CERTIFIED-WITHDRAWN	BEAM SUNTORY INC.
DENIED	STRATOSMEDIA INC
CERTIFIED	HARTSHORNE MINING GROUP LLC
CERTIFIED	"BURLEIGH POINT, LTD."
CERTIFIED	ALPHA USA
DENIED	STRATOSMEDIA INC
CERTIFIED	BEAM SUNTORY INC.
DENIED	"PINCHME GROUP, INC"
CERTIFIED	"SERRAVIEW AMERICA, INC."
CERTIFIED	SWEET GREEN FIELDS USA LLC
CERTIFIED	SINO GRINDING (AMERICAS) INC
DENIED	STRATOSMEDIA INC
WITHDRAWN	"SFORZANDO, INC."
CERTIFIED	"SFORZANDO, INC."
CERTIFIED	"DTP COMM DEV, LLC"
WITHDRAWN	POIT LLC
CERTIFIED	DRUGDEV INC.
CERTIFIED	MATILDA MEDIA GROUP LLC
CERTIFIED	POIT LLC
CERTIFIED	"MCCHRYSTAL GROUP, LLC"
CERTIFIED	WARNER BROS. ENTERTAINMENT INC.
CERTIFIED	WARNER BROS. STUDIO ENTERPRISES INC.
CERTIFIED	THE COCA-COLA COMPANY
CERTIFIED	"DTZ AMERICAS, INC."
CERTIFIED	PRESCO INC.
CERTIFIED	"HAILE GOLD MINE, INC."
DENIED	MCLEAREN ROAD PROPERTY OWNER LLC
DENIED	MUSIC ICON INC
CERTIFIED	STRYKER CORPORATION
DENIED	MCLEAREN ROAD PROPERTY OWNER LLC
CERTIFIED	NICHOLAS THE LABEL LLC
CERTIFIED	PARNELL CORPORATE SERVICES US INC
CERTIFIED	"RODAN & FIELDS, LLC"
CERTIFIED	BABSON CAPITAL MANAGEMENT LLC
CERTIFIED	BRYDGE TECHNOLOGIES INC.
CERTIFIED	"SUNSHINE MINTING, INC."
DENIED	"ACCREDITATION ASSOCIATION FOR AMBULATORY HEALTH CARE, INC."
CERTIFIED	"JINDILLI, INC."
CERTIFIED	BATTERY MARKETING ASSOCIATES INC
DENIED	BLUESPOTPARK INC.
CERTIFIED-WITHDRAWN	"WEARE8, INC."
CERTIFIED	"MUSIC ICON, INC."
CERTIFIED	"VENTANA MEDICAL SYSTEMS, INC."
CERTIFIED	ISATUS INC.
CERTIFIED	BLUESPOTPARK INC.
CERTIFIED-WITHDRAWN	MCLEAREN ROAD PROPERTY OWNER LLC
CERTIFIED	"WEARE8, INC."
DENIED	"ACCREDITATION ASSOCIATION FOR AMBULATORY HEALTH CARE, INC."
CERTIFIED	"PROPERTY CONNECT, INC."
CERTIFIED	"SUNIZO, LLC"
CERTIFIED	"ARISTOCRAT TECHNOLOGIES, INC."
CERTIFIED	BLUECATS INC
CERTIFIED	"ACCREDITATION ASSOCIATION FOR AMBULATORY HEALTH CARE, INC."
CERTIFIED	ENSR MEDICAL INC
DENIED	NOGGIN IT INC
CERTIFIED	LIFESKINS INC
CERTIFIED	NOGGIN IT INC
DENIED	ETHOS RESEARCH &AMP; DEVELOPMENT LLC
CERTIFIED	MONDO VENTURES INC.
WITHDRAWN	"IMPERIAL PACIFIC INTERNATIONAL (CNMI), LLC"
CERTIFIED	"BARFRESH, INC."
CERTIFIED	"IMPERIAL PACIFIC INTERNATIONAL (CNMI), LLC"
CERTIFIED	TWENTIETH CENTURY FOX FILM CORPORATION
CERTIFIED	SECTION.IO INCORPORATED
CERTIFIED	MASSACHUSETTS MUTUAL LIFE INSURANCE COMPANY
CERTIFIED	ETHOS RESEARCH &AMP; DEVELOPMENT LLC
CERTIFIED	SUN BUM LLC
DENIED	"OAKRIDGE GLOBAL ENERGY SOLUTIONS, INC"
CERTIFIED	"LOOK@YOU, INC."
CERTIFIED	"OAKRIDGE GLOBAL ENERGY SOLUTIONS, INC"
CERTIFIED	MIKE DOLCE MMA INC.
CERTIFIED	ACENDRE INC
CERTIFIED	"VENTANA MEDICAL SYSTEMS, INC."
CERTIFIED	LIFESKINS INC
CERTIFIED	HYDRX SOLUTIONS LLC
CERTIFIED	"ION AMERICA, LLC"
CERTIFIED	JIVA INFOTECH INC
CERTIFIED	VERDIGRIS LLC
CERTIFIED	"FAME & PARTNERS, INC."
CERTIFIED	"DEEP SPACE INDUSTRIES, INC."
CERTIFIED	"ELDARION, INC."
DENIED	ARRB GROUP INC.
DENIED	"GLOBAL POVERTY PROJECT, INC"
CERTIFIED	FUNDTECH CORPORATION
CERTIFIED	"GLOBAL POVERTY PROJECT, INC"
CERTIFIED	SABBATICAL HOLDINGS INC
CERTIFIED	MCLEAREN ROAD PROPERTY OWNER LLC
CERTIFIED	"FAME & PARTNERS, INC."
CERTIFIED	MATILDA MEDIA GROUP LLC
CERTIFIED	"JINDILLI, INC."
CERTIFIED	OUTRIGGER HOTELS HAWAII
CERTIFIED	"ALASKA BROADCAST COMMUNICATIONS, INC."
CERTIFIED	"QUICKFEE, INC."
CERTIFIED	"NITRO CIRCUS LIVE USA, INC."
DENIED	BRYDGE TECHNOLOGIES INC.
CERTIFIED	MANPOWERGROUP GLOBAL INC
CERTIFIED	"EXCEL TRUST, INC."
DENIED	"AEROSAFE RISK MANAGEMENT, INC."
CERTIFIED	"PACNET SERVICES (USA), INC."
WITHDRAWN	"PANET SERVICES (USA), INC."
CERTIFIED	"ORION HEALTH, INC."
DENIED	"AEROSAFE RISK MANAGEMENT, INC."
DENIED	TSAR USA LLC
CERTIFIED	OUTRIGGER HOTELS HAWAII
CERTIFIED	"AEROSAFE RISK MANAGEMENT, INC."
CERTIFIED	NEW YORK HOTEL & MOTEL TRADES COUNCIL
CERTIFIED	"ROCETEER, INC."
